thread_url,user,ts,supports_count
https://decidim.barcelona.cat/proposals/incloure-un-llenguatge-no-sexista-a-les-comunicacions-del-districte,Ajuntament de Barcelona,2016-01-29T00:00:00Z,14
https://decidim.barcelona.cat/proposals/consolidar-el-banc-del-temps-de-vilapicina-i-la-torre-llobeta,Ajuntament de Barcelona,2016-01-29T00:00:00Z,2
https://decidim.barcelona.cat/proposals/reordenacio-dels-equipaments-de-salut-del-raval,Ajuntament de Barcelona,2016-01-29T00:00:00Z,1
https://decidim.barcelona.cat/proposals/mapa-de-serveis-i-recursos-per-als-col-lectius-d-edat,Ajuntament de Barcelona,2016-01-29T00:00:00Z,2
https://decidim.barcelona.cat/proposals/pla-d-ocupacio-juvenil,Ajuntament de Barcelona,2016-01-29T00:00:00Z,8
https://decidim.barcelona.cat/proposals/projecte-d-instal-lacio-d-aparells-de-gimnastica-per-a-gent-gran,Ajuntament de Barcelona,2016-01-29T00:00:00Z,5
https://decidim.barcelona.cat/proposals/estendre-els-programes-de-promocio-i-dinamitzacio-per-a-la-gent-gran,Ajuntament de Barcelona,2016-01-29T00:00:00Z,3
https://decidim.barcelona.cat/proposals/potenciar-la-xarxa-de-serveis-juvenils-d-orientacio-academica-i-insercio-laboral,Ajuntament de Barcelona,2016-01-29T00:00:00Z,3
https://decidim.barcelona.cat/proposals/reforcar-les-activitats-de-lleure-durant-el-periode-no-lectiu-per-als-infants,Ajuntament de Barcelona,2016-01-29T00:00:00Z,4
https://decidim.barcelona.cat/proposals/protocol-per-la-deteccio-de-casos-i-processos-de-mediacio,Ajuntament de Barcelona,2016-01-29T00:00:00Z,4
https://decidim.barcelona.cat/proposals/ajuts-permanents-al-pagament-de-lloguer,Ajuntament de Barcelona,2016-01-29T00:00:00Z,10
https://decidim.barcelona.cat/proposals/programa-de-promocio-d-habitatges-nous-de-lloguer-social,Ajuntament de Barcelona,2016-01-29T00:00:00Z,6
https://decidim.barcelona.cat/proposals/programa-de-mobilitzacio-d-habitatges-buits,Ajuntament de Barcelona,2016-01-29T00:00:00Z,10
https://decidim.barcelona.cat/proposals/acabament-de-les-obres-de-l-hospital-del-mar,Ajuntament de Barcelona,2016-01-29T00:00:00Z,11
https://decidim.barcelona.cat/proposals/ampliar-el-pla-de-salut-als-barris-de-can-peguera-el-turo-de-la-peira-i-verdum,Ajuntament de Barcelona,2016-01-29T00:00:00Z,3
https://decidim.barcelona.cat/proposals/consolidar-l-espai-de-salut-comunitaria-de-la-guineueta,Ajuntament de Barcelona,2016-01-29T00:00:00Z,2
https://decidim.barcelona.cat/proposals/visibilitzar-les-activitats-culturals-del-districte-al-circuit-de-ciutat,Ajuntament de Barcelona,2016-01-29T00:00:00Z,2
https://decidim.barcelona.cat/proposals/millorar-l-oferta-d-arts-esceniques-a-la-zona-nord,Ajuntament de Barcelona,2016-01-29T00:00:00Z,3
https://decidim.barcelona.cat/proposals/tarificacio-social-a-l-acces-als-equipaments-esportius,Ajuntament de Barcelona,2016-01-29T00:00:00Z,1
https://decidim.barcelona.cat/proposals/ampliar-el-cem-artesania,Ajuntament de Barcelona,2016-01-29T00:00:00Z,1
https://decidim.barcelona.cat/proposals/pla-de-revisio-i-millora-de-les-instal-lacions-de-petanca,Ajuntament de Barcelona,2016-01-29T00:00:00Z,2
https://decidim.barcelona.cat/proposals/pla-de-foment-de-la-convivencia-a-nou-barris,Ajuntament de Barcelona,2016-01-29T00:00:00Z,3
https://decidim.barcelona.cat/proposals/programa-de-recuperacio-i-dignificacio-de-la-memoria-historica,Ajuntament de Barcelona,2016-01-29T00:00:00Z,11
https://decidim.barcelona.cat/proposals/pla-de-comerc-del-districte,Ajuntament de Barcelona,2016-01-29T00:00:00Z,2
https://decidim.barcelona.cat/proposals/formacio-al-personal-municipal-sobre-malalties-de-salut-mental,Ajuntament de Barcelona,2016-01-29T00:00:00Z,5
