thread_id,ts,supports_total_count
https://decide.madrid.es/proposals/1082,2015-09-17T00:00:00Z,27
https://decide.madrid.es/proposals/1083,2015-09-17T00:00:00Z,30
https://decide.madrid.es/proposals/1084,2015-09-17T00:00:00Z,90
https://decide.madrid.es/proposals/1085,2015-09-17T00:00:00Z,1784
https://decide.madrid.es/proposals/1086,2015-09-17T00:00:00Z,340
https://decide.madrid.es/proposals/1087,2015-09-17T00:00:00Z,126
https://decide.madrid.es/proposals/1088,2015-09-17T00:00:00Z,19
https://decide.madrid.es/proposals/1089,2015-09-17T00:00:00Z,12
https://decide.madrid.es/proposals/109,2015-09-15T00:00:00Z,143
https://decide.madrid.es/proposals/1090,2015-09-17T00:00:00Z,202
https://decide.madrid.es/proposals/1091,2015-09-17T00:00:00Z,39
https://decide.madrid.es/proposals/1092,2015-09-17T00:00:00Z,1851
https://decide.madrid.es/proposals/1093,2015-09-17T00:00:00Z,92
https://decide.madrid.es/proposals/1094,2015-09-17T00:00:00Z,18
https://decide.madrid.es/proposals/1095,2015-09-17T00:00:00Z,9
https://decide.madrid.es/proposals/1096,2015-09-17T00:00:00Z,32
https://decide.madrid.es/proposals/1097,2015-09-17T00:00:00Z,41
https://decide.madrid.es/proposals/1098,2015-09-17T00:00:00Z,135
https://decide.madrid.es/proposals/1099,2015-09-17T00:00:00Z,18
https://decide.madrid.es/proposals/11,2015-09-15T00:00:00Z,48
https://decide.madrid.es/proposals/110,2015-09-15T00:00:00Z,1329
https://decide.madrid.es/proposals/1100,2015-09-17T00:00:00Z,229
https://decide.madrid.es/proposals/1101,2015-09-17T00:00:00Z,11
https://decide.madrid.es/proposals/1102,2015-09-17T00:00:00Z,860
https://decide.madrid.es/proposals/1104,2015-09-17T00:00:00Z,337
https://decide.madrid.es/proposals/1105,2015-09-17T00:00:00Z,958
https://decide.madrid.es/proposals/1107,2015-09-17T00:00:00Z,243
https://decide.madrid.es/proposals/1108,2015-09-17T00:00:00Z,35
https://decide.madrid.es/proposals/111,2015-09-15T00:00:00Z,127
https://decide.madrid.es/proposals/1110,2015-09-17T00:00:00Z,15
https://decide.madrid.es/proposals/1111,2015-09-17T00:00:00Z,3
https://decide.madrid.es/proposals/1112,2015-09-17T00:00:00Z,1154
https://decide.madrid.es/proposals/1113,2015-09-17T00:00:00Z,5
https://decide.madrid.es/proposals/1114,2015-09-17T00:00:00Z,837
https://decide.madrid.es/proposals/1115,2015-09-17T00:00:00Z,166
https://decide.madrid.es/proposals/1117,2015-09-17T00:00:00Z,42
https://decide.madrid.es/proposals/1118,2015-09-17T00:00:00Z,52
https://decide.madrid.es/proposals/1119,2015-09-17T00:00:00Z,28
https://decide.madrid.es/proposals/112,2015-09-15T00:00:00Z,434
https://decide.madrid.es/proposals/1120,2015-09-17T00:00:00Z,339
https://decide.madrid.es/proposals/1121,2015-09-17T00:00:00Z,168
https://decide.madrid.es/proposals/1122,2015-09-17T00:00:00Z,9
https://decide.madrid.es/proposals/1123,2015-09-17T00:00:00Z,21
https://decide.madrid.es/proposals/1124,2015-09-17T00:00:00Z,417
https://decide.madrid.es/proposals/1125,2015-09-17T00:00:00Z,128
https://decide.madrid.es/proposals/1126,2015-09-17T00:00:00Z,26
https://decide.madrid.es/proposals/1127,2015-09-17T00:00:00Z,237
https://decide.madrid.es/proposals/1128,2015-09-17T00:00:00Z,32
https://decide.madrid.es/proposals/1129,2015-09-17T00:00:00Z,255
https://decide.madrid.es/proposals/113,2015-09-15T00:00:00Z,21
https://decide.madrid.es/proposals/1130,2015-09-17T00:00:00Z,106
https://decide.madrid.es/proposals/1131,2015-09-17T00:00:00Z,222
https://decide.madrid.es/proposals/1132,2015-09-17T00:00:00Z,23
https://decide.madrid.es/proposals/1133,2015-09-17T00:00:00Z,33
https://decide.madrid.es/proposals/1134,2015-09-17T00:00:00Z,63
https://decide.madrid.es/proposals/1135,2015-09-17T00:00:00Z,201
https://decide.madrid.es/proposals/1136,2015-09-17T00:00:00Z,379
https://decide.madrid.es/proposals/1137,2015-09-17T00:00:00Z,23
https://decide.madrid.es/proposals/1138,2015-09-17T00:00:00Z,24
https://decide.madrid.es/proposals/1139,2015-09-17T00:00:00Z,53
